"species","island","bill_length_mm","flipper_length_mm","body_mass_g","sex","year"
"Adelie","Torgersen",39.1,181,3750,"male",2007
"Adelie","Torgersen",39.5,186,3800,"female",2007
"Adelie","Torgersen",40.3,195,3250,"female",2007
"Adelie","Torgersen",NA,NA,NA,NA,2007
"Adelie","Torgersen",36.7,193,3450,"female",2007
"Adelie","Torgersen",39.3,190,3650,"male",2007
"Adelie","Torgersen",38.9,181,3625,"female",2007
"Adelie","Torgersen",39.2,195,4675,"male",2007
"Adelie","Torgersen",34.1,193,3475,NA,2007
"Adelie","Torgersen",42,190,4250,NA,2007
"Adelie","Torgersen",37.8,186,3300,NA,2007
"Adelie","Torgersen",37.8,180,3700,NA,2007
"Adelie","Torgersen",41.1,182,3200,"female",2007
"Adelie","Torgersen",38.6,191,3800,"male",2007
"Adelie","Torgersen",34.6,198,4400,"male",2007
"Adelie","Torgersen",36.6,185,3700,"female",2007
"Adelie","Torgersen",38.7,195,3450,"female",2007
"Adelie","Torgersen",42.5,197,4500,"male",2007
"Adelie","Torgersen",34.4,184,3325,"female",2007
"Adelie","Torgersen",46,194,4200,"male",2007
"Adelie","Biscoe",37.8,174,3400,"female",2007
"Adelie","Biscoe",37.7,180,3600,"male",2007
"Adelie","Biscoe",35.9,189,3800,"female",2007
"Adelie","Biscoe",38.2,185,3950,"male",2007
"Adelie","Biscoe",38.8,180,3800,"male",2007
"Adelie","Biscoe",35.3,187,3800,"female",2007
"Adelie","Biscoe",40.6,183,3550,"male",2007
"Adelie","Biscoe",40.5,187,3200,"female",2007
"Adelie","Biscoe",37.9,172,3150,"female",2007
"Adelie","Biscoe",40.5,180,3950,"male",2007
"Adelie","Dream",39.5,178,3250,"female",2007
"Adelie","Dream",37.2,178,3900,"male",2007
"Adelie","Dream",39.5,188,3300,"female",2007
"Adelie","Dream",40.9,184,3900,"male",2007
"Adelie","Dream",36.4,195,3325,"female",2007
"Adelie","Dream",39.2,196,4150,"male",2007
"Adelie","Dream",38.8,190,3950,"male",2007
"Adelie","Dream",42.2,180,3550,"female",2007
"Adelie","Dream",37.6,181,3300,"female",2007
"Adelie","Dream",39.8,184,4650,"male",2007
"Adelie","Dream",36.5,182,3150,"female",2007
"Adelie","Dream",40.8,195,3900,"male",2007
"Adelie","Dream",36,186,3100,"female",2007
"Adelie","Dream",44.1,196,4400,"male",2007
"Adelie","Dream",37,185,3000,"female",2007
"Adelie","Dream",39.6,190,4600,"male",2007
"Adelie","Dream",41.1,182,3425,"male",2007
"Adelie","Dream",37.5,179,2975,NA,2007
"Adelie","Dream",36,190,3450,"female",2007
"Adelie","Dream",42.3,191,4150,"male",2007
"Adelie","Biscoe",39.6,186,3500,"female",2008
"Adelie","Biscoe",40.1,188,4300,"male",2008
"Adelie","Biscoe",35,190,3450,"female",2008
"Adelie","Biscoe",42,200,4050,"male",2008
"Adelie","Biscoe",34.5,187,2900,"female",2008
"Adelie","Biscoe",41.4,191,3700,"male",2008
"Adelie","Biscoe",39,186,3550,"female",2008
"Adelie","Biscoe",40.6,193,3800,"male",2008
"Adelie","Biscoe",36.5,181,2850,"female",2008
"Adelie","Biscoe",37.6,194,3750,"male",2008
"Adelie","Biscoe",35.7,185,3150,"female",2008
"Adelie","Biscoe",41.3,195,4400,"male",2008
"Adelie","Biscoe",37.6,185,3600,"female",2008
"Adelie","Biscoe",41.1,192,4050,"male",2008
"Adelie","Biscoe",36.4,184,2850,"female",2008
"Adelie","Biscoe",41.6,192,3950,"male",2008
"Adelie","Biscoe",35.5,195,3350,"female",2008
"Adelie","Biscoe",41.1,188,4100,"male",2008
"Adelie","Torgersen",35.9,190,3050,"female",2008
"Adelie","Torgersen",41.8,198,4450,"male",2008
"Adelie","Torgersen",33.5,190,3600,"female",2008
"Adelie","Torgersen",39.7,190,3900,"male",2008
"Adelie","Torgersen",39.6,196,3550,"female",2008
"Adelie","Torgersen",45.8,197,4150,"male",2008
"Adelie","Torgersen",35.5,190,3700,"female",2008
"Adelie","Torgersen",42.8,195,4250,"male",2008
"Adelie","Torgersen",40.9,191,3700,"female",2008
"Adelie","Torgersen",37.2,184,3900,"male",2008
"Adelie","Torgersen",36.2,187,3550,"female",2008
"Adelie","Torgersen",42.1,195,4000,"male",2008
"Adelie","Torgersen",34.6,189,3200,"female",2008
"Adelie","Torgersen",42.9,196,4700,"male",2008
"Adelie","Torgersen",36.7,187,3800,"female",2008
"Adelie","Torgersen",35.1,193,4200,"male",2008
"Adelie","Dream",37.3,191,3350,"female",2008
"Adelie","Dream",41.3,194,3550,"male",2008
"Adelie","Dream",36.3,190,3800,"male",2008
"Adelie","Dream",36.9,189,3500,"female",2008
"Adelie","Dream",38.3,189,3950,"male",2008
"Adelie","Dream",38.9,190,3600,"female",2008
"Adelie","Dream",35.7,202,3550,"female",2008
"Adelie","Dream",41.1,205,4300,"male",2008
"Adelie","Dream",34,185,3400,"female",2008
"Adelie","Dream",39.6,186,4450,"male",2008
"Adelie","Dream",36.2,187,3300,"female",2008
"Adelie","Dream",40.8,208,4300,"male",2008
"Adelie","Dream",38.1,190,3700,"female",2008
"Adelie","Dream",40.3,196,4350,"male",2008
"Adelie","Dream",33.1,178,2900,"female",2008
"Adelie","Dream",43.2,192,4100,"male",2008
"Adelie","Biscoe",35,192,3725,"female",2009
"Adelie","Biscoe",41,203,4725,"male",2009
"Adelie","Biscoe",37.7,183,3075,"female",2009
"Adelie","Biscoe",37.8,190,4250,"male",2009
"Adelie","Biscoe",37.9,193,2925,"female",2009
"Adelie","Biscoe",39.7,184,3550,"male",2009
"Adelie","Biscoe",38.6,199,3750,"female",2009
"Adelie","Biscoe",38.2,190,3900,"male",2009
"Adelie","Biscoe",38.1,181,3175,"female",2009
"Adelie","Biscoe",43.2,197,4775,"male",2009
"Adelie","Biscoe",38.1,198,3825,"female",2009
"Adelie","Biscoe",45.6,191,4600,"male",2009
"Adelie","Biscoe",39.7,193,3200,"female",2009
"Adelie","Biscoe",42.2,197,4275,"male",2009
"Adelie","Biscoe",39.6,191,3900,"female",2009
"Adelie","Biscoe",42.7,196,4075,"male",2009
"Adelie","Torgersen",38.6,188,2900,"female",2009
"Adelie","Torgersen",37.3,199,3775,"male",2009
"Adelie","Torgersen",35.7,189,3350,"female",2009
"Adelie","Torgersen",41.1,189,3325,"male",2009
"Adelie","Torgersen",36.2,187,3150,"female",2009
"Adelie","Torgersen",37.7,198,3500,"male",2009
"Adelie","Torgersen",40.2,176,3450,"female",2009
"Adelie","Torgersen",41.4,202,3875,"male",2009
"Adelie","Torgersen",35.2,186,3050,"female",2009
"Adelie","Torgersen",40.6,199,4000,"male",2009
"Adelie","Torgersen",38.8,191,3275,"female",2009
"Adelie","Torgersen",41.5,195,4300,"male",2009
"Adelie","Torgersen",39,191,3050,"female",2009
"Adelie","Torgersen",44.1,210,4000,"male",2009
"Adelie","Torgersen",38.5,190,3325,"female",2009
"Adelie","Torgersen",43.1,197,3500,"male",2009
"Adelie","Dream",36.8,193,3500,"female",2009
"Adelie","Dream",37.5,199,4475,"male",2009
"Adelie","Dream",38.1,187,3425,"female",2009
"Adelie","Dream",41.1,190,3900,"male",2009
"Adelie","Dream",35.6,191,3175,"female",2009
"Adelie","Dream",40.2,200,3975,"male",2009
"Adelie","Dream",37,185,3400,"female",2009
"Adelie","Dream",39.7,193,4250,"male",2009
"Adelie","Dream",40.2,193,3400,"female",2009
"Adelie","Dream",40.6,187,3475,"male",2009
"Adelie","Dream",32.1,188,3050,"female",2009
"Adelie","Dream",40.7,190,3725,"male",2009
"Adelie","Dream",37.3,192,3000,"female",2009
"Adelie","Dream",39,185,3650,"male",2009
"Adelie","Dream",39.2,190,4250,"male",2009
"Adelie","Dream",36.6,184,3475,"female",2009
"Adelie","Dream",36,195,3450,"female",2009
"Adelie","Dream",37.8,193,3750,"male",2009
"Adelie","Dream",36,187,3700,"female",2009
"Adelie","Dream",41.5,201,4000,"male",2009
"Gentoo","Biscoe",46.1,211,4500,"female",2007
"Gentoo","Biscoe",50,230,5700,"male",2007
"Gentoo","Biscoe",48.7,210,4450,"female",2007
"Gentoo","Biscoe",50,218,5700,"male",2007
"Gentoo","Biscoe",47.6,215,5400,"male",2007
"Gentoo","Biscoe",46.5,210,4550,"female",2007
"Gentoo","Biscoe",45.4,211,4800,"female",2007
"Gentoo","Biscoe",46.7,219,5200,"male",2007
"Gentoo","Biscoe",43.3,209,4400,"female",2007
"Gentoo","Biscoe",46.8,215,5150,"male",2007
"Gentoo","Biscoe",40.9,214,4650,"female",2007
"Gentoo","Biscoe",49,216,5550,"male",2007
"Gentoo","Biscoe",45.5,214,4650,"female",2007
"Gentoo","Biscoe",48.4,213,5850,"male",2007
"Gentoo","Biscoe",45.8,210,4200,"female",2007
"Gentoo","Biscoe",49.3,217,5850,"male",2007
"Gentoo","Biscoe",42,210,4150,"female",2007
"Gentoo","Biscoe",49.2,221,6300,"male",2007
"Gentoo","Biscoe",46.2,209,4800,"female",2007
"Gentoo","Biscoe",48.7,222,5350,"male",2007
"Gentoo","Biscoe",50.2,218,5700,"male",2007
"Gentoo","Biscoe",45.1,215,5000,"female",2007
"Gentoo","Biscoe",46.5,213,4400,"female",2007
"Gentoo","Biscoe",46.3,215,5050,"male",2007
"Gentoo","Biscoe",42.9,215,5000,"female",2007
"Gentoo","Biscoe",46.1,215,5100,"male",2007
"Gentoo","Biscoe",44.5,216,4100,NA,2007
"Gentoo","Biscoe",47.8,215,5650,"male",2007
"Gentoo","Biscoe",48.2,210,4600,"female",2007
"Gentoo","Biscoe",50,220,5550,"male",2007
"Gentoo","Biscoe",47.3,222,5250,"male",2007
"Gentoo","Biscoe",42.8,209,4700,"female",2007
"Gentoo","Biscoe",45.1,207,5050,"female",2007
"Gentoo","Biscoe",59.6,230,6050,"male",2007
"Gentoo","Biscoe",49.1,220,5150,"female",2008
"Gentoo","Biscoe",48.4,220,5400,"male",2008
"Gentoo","Biscoe",42.6,213,4950,"female",2008
"Gentoo","Biscoe",44.4,219,5250,"male",2008
"Gentoo","Biscoe",44,208,4350,"female",2008
"Gentoo","Biscoe",48.7,208,5350,"male",2008
"Gentoo","Biscoe",42.7,208,3950,"female",2008
"Gentoo","Biscoe",49.6,225,5700,"male",2008
"Gentoo","Biscoe",45.3,210,4300,"female",2008
"Gentoo","Biscoe",49.6,216,4750,"male",2008
"Gentoo","Biscoe",50.5,222,5550,"male",2008
"Gentoo","Biscoe",43.6,217,4900,"female",2008
"Gentoo","Biscoe",45.5,210,4200,"female",2008
"Gentoo","Biscoe",50.5,225,5400,"male",2008
"Gentoo","Biscoe",44.9,213,5100,"female",2008
"Gentoo","Biscoe",45.2,215,5300,"male",2008
"Gentoo","Biscoe",46.6,210,4850,"female",2008
"Gentoo","Biscoe",48.5,220,5300,"male",2008
"Gentoo","Biscoe",45.1,210,4400,"female",2008
"Gentoo","Biscoe",50.1,225,5000,"male",2008
"Gentoo","Biscoe",46.5,217,4900,"female",2008
"Gentoo","Biscoe",45,220,5050,"male",2008
"Gentoo","Biscoe",43.8,208,4300,"female",2008
"Gentoo","Biscoe",45.5,220,5000,"male",2008
"Gentoo","Biscoe",43.2,208,4450,"female",2008
"Gentoo","Biscoe",50.4,224,5550,"male",2008
"Gentoo","Biscoe",45.3,208,4200,"female",2008
"Gentoo","Biscoe",46.2,221,5300,"male",2008
"Gentoo","Biscoe",45.7,214,4400,"female",2008
"Gentoo","Biscoe",54.3,231,5650,"male",2008
"Gentoo","Biscoe",45.8,219,4700,"female",2008
"Gentoo","Biscoe",49.8,230,5700,"male",2008
"Gentoo","Biscoe",46.2,214,4650,NA,2008
"Gentoo","Biscoe",49.5,229,5800,"male",2008
"Gentoo","Biscoe",43.5,220,4700,"female",2008
"Gentoo","Biscoe",50.7,223,5550,"male",2008
"Gentoo","Biscoe",47.7,216,4750,"female",2008
"Gentoo","Biscoe",46.4,221,5000,"male",2008
"Gentoo","Biscoe",48.2,221,5100,"male",2008
"Gentoo","Biscoe",46.5,217,5200,"female",2008
"Gentoo","Biscoe",46.4,216,4700,"female",2008
"Gentoo","Biscoe",48.6,230,5800,"male",2008
"Gentoo","Biscoe",47.5,209,4600,"female",2008
"Gentoo","Biscoe",51.1,220,6000,"male",2008
"Gentoo","Biscoe",45.2,215,4750,"female",2008
"Gentoo","Biscoe",45.2,223,5950,"male",2008
"Gentoo","Biscoe",49.1,212,4625,"female",2009
"Gentoo","Biscoe",52.5,221,5450,"male",2009
"Gentoo","Biscoe",47.4,212,4725,"female",2009
"Gentoo","Biscoe",50,224,5350,"male",2009
"Gentoo","Biscoe",44.9,212,4750,"female",2009
"Gentoo","Biscoe",50.8,228,5600,"male",2009
"Gentoo","Biscoe",43.4,218,4600,"female",2009
"Gentoo","Biscoe",51.3,218,5300,"male",2009
"Gentoo","Biscoe",47.5,212,4875,"female",2009
"Gentoo","Biscoe",52.1,230,5550,"male",2009
"Gentoo","Biscoe",47.5,218,4950,"female",2009
"Gentoo","Biscoe",52.2,228,5400,"male",2009
"Gentoo","Biscoe",45.5,212,4750,"female",2009
"Gentoo","Biscoe",49.5,224,5650,"male",2009
"Gentoo","Biscoe",44.5,214,4850,"female",2009
"Gentoo","Biscoe",50.8,226,5200,"male",2009
"Gentoo","Biscoe",49.4,216,4925,"male",2009
"Gentoo","Biscoe",46.9,222,4875,"female",2009
"Gentoo","Biscoe",48.4,203,4625,"female",2009
"Gentoo","Biscoe",51.1,225,5250,"male",2009
"Gentoo","Biscoe",48.5,219,4850,"female",2009
"Gentoo","Biscoe",55.9,228,5600,"male",2009
"Gentoo","Biscoe",47.2,215,4975,"female",2009
"Gentoo","Biscoe",49.1,228,5500,"male",2009
"Gentoo","Biscoe",47.3,216,4725,NA,2009
"Gentoo","Biscoe",46.8,215,5500,"male",2009
"Gentoo","Biscoe",41.7,210,4700,"female",2009
"Gentoo","Biscoe",53.4,219,5500,"male",2009
"Gentoo","Biscoe",43.3,208,4575,"female",2009
"Gentoo","Biscoe",48.1,209,5500,"male",2009
"Gentoo","Biscoe",50.5,216,5000,"female",2009
"Gentoo","Biscoe",49.8,229,5950,"male",2009
"Gentoo","Biscoe",43.5,213,4650,"female",2009
"Gentoo","Biscoe",51.5,230,5500,"male",2009
"Gentoo","Biscoe",46.2,217,4375,"female",2009
"Gentoo","Biscoe",55.1,230,5850,"male",2009
"Gentoo","Biscoe",44.5,217,4875,NA,2009
"Gentoo","Biscoe",48.8,222,6000,"male",2009
"Gentoo","Biscoe",47.2,214,4925,"female",2009
"Gentoo","Biscoe",NA,NA,NA,NA,2009
"Gentoo","Biscoe",46.8,215,4850,"female",2009
"Gentoo","Biscoe",50.4,222,5750,"male",2009
"Gentoo","Biscoe",45.2,212,5200,"female",2009
"Gentoo","Biscoe",49.9,213,5400,"male",2009
"Chinstrap","Dream",46.5,192,3500,"female",2007
"Chinstrap","Dream",50,196,3900,"male",2007
"Chinstrap","Dream",51.3,193,3650,"male",2007
"Chinstrap","Dream",45.4,188,3525,"female",2007
"Chinstrap","Dream",52.7,197,3725,"male",2007
"Chinstrap","Dream",45.2,198,3950,"female",2007
"Chinstrap","Dream",46.1,178,3250,"female",2007
"Chinstrap","Dream",51.3,197,3750,"male",2007
"Chinstrap","Dream",46,195,4150,"female",2007
"Chinstrap","Dream",51.3,198,3700,"male",2007
"Chinstrap","Dream",46.6,193,3800,"female",2007
"Chinstrap","Dream",51.7,194,3775,"male",2007
"Chinstrap","Dream",47,185,3700,"female",2007
"Chinstrap","Dream",52,201,4050,"male",2007
"Chinstrap","Dream",45.9,190,3575,"female",2007
"Chinstrap","Dream",50.5,201,4050,"male",2007
"Chinstrap","Dream",50.3,197,3300,"male",2007
"Chinstrap","Dream",58,181,3700,"female",2007
"Chinstrap","Dream",46.4,190,3450,"female",2007
"Chinstrap","Dream",49.2,195,4400,"male",2007
"Chinstrap","Dream",42.4,181,3600,"female",2007
"Chinstrap","Dream",48.5,191,3400,"male",2007
"Chinstrap","Dream",43.2,187,2900,"female",2007
"Chinstrap","Dream",50.6,193,3800,"male",2007
"Chinstrap","Dream",46.7,195,3300,"female",2007
"Chinstrap","Dream",52,197,4150,"male",2007
"Chinstrap","Dream",50.5,200,3400,"female",2008
"Chinstrap","Dream",49.5,200,3800,"male",2008
"Chinstrap","Dream",46.4,191,3700,"female",2008
"Chinstrap","Dream",52.8,205,4550,"male",2008
"Chinstrap","Dream",40.9,187,3200,"female",2008
"Chinstrap","Dream",54.2,201,4300,"male",2008
"Chinstrap","Dream",42.5,187,3350,"female",2008
"Chinstrap","Dream",51,203,4100,"male",2008
"Chinstrap","Dream",49.7,195,3600,"male",2008
"Chinstrap","Dream",47.5,199,3900,"female",2008
"Chinstrap","Dream",47.6,195,3850,"female",2008
"Chinstrap","Dream",52,210,4800,"male",2008
"Chinstrap","Dream",46.9,192,2700,"female",2008
"Chinstrap","Dream",53.5,205,4500,"male",2008
"Chinstrap","Dream",49,210,3950,"male",2008
"Chinstrap","Dream",46.2,187,3650,"female",2008
"Chinstrap","Dream",50.9,196,3550,"male",2008
"Chinstrap","Dream",45.5,196,3500,"female",2008
"Chinstrap","Dream",50.9,196,3675,"female",2009
"Chinstrap","Dream",50.8,201,4450,"male",2009
"Chinstrap","Dream",50.1,190,3400,"female",2009
"Chinstrap","Dream",49,212,4300,"male",2009
"Chinstrap","Dream",51.5,187,3250,"male",2009
"Chinstrap","Dream",49.8,198,3675,"female",2009
"Chinstrap","Dream",48.1,199,3325,"female",2009
"Chinstrap","Dream",51.4,201,3950,"male",2009
"Chinstrap","Dream",45.7,193,3600,"female",2009
"Chinstrap","Dream",50.7,203,4050,"male",2009
"Chinstrap","Dream",42.5,187,3350,"female",2009
"Chinstrap","Dream",52.2,197,3450,"male",2009
"Chinstrap","Dream",45.2,191,3250,"female",2009
"Chinstrap","Dream",49.3,203,4050,"male",2009
"Chinstrap","Dream",50.2,202,3800,"male",2009
"Chinstrap","Dream",45.6,194,3525,"female",2009
"Chinstrap","Dream",51.9,206,3950,"male",2009
"Chinstrap","Dream",46.8,189,3650,"female",2009
"Chinstrap","Dream",45.7,195,3650,"female",2009
"Chinstrap","Dream",55.8,207,4000,"male",2009
"Chinstrap","Dream",43.5,202,3400,"female",2009
"Chinstrap","Dream",49.6,193,3775,"male",2009
"Chinstrap","Dream",50.8,210,4100,"male",2009
"Chinstrap","Dream",50.2,198,3775,"female",2009
